timestamp,joint1,joint2,joint3,joint4,joint5,joint6
0.000000,0.000000,0.225476,0.344907,0.302123,0.117246,-0.122774
0.033333,0.068824,0.284462,0.381475,0.314237,0.114371,-0.124123
0.066667,0.134876,0.338313,0.411846,0.320891,0.108226,-0.126129
0.100000,0.195565,0.384572,0.433819,0.320143,0.097010,-0.130639
0.133333,0.248642,0.421148,0.445569,0.310418,0.079261,-0.139188
0.166667,0.292344,0.446459,0.445786,0.290642,0.053993,-0.152862
0.200000,0.325500,0.459536,0.433778,0.260339,0.020791,-0.172203
0.233333,0.347596,0.460084,0.409522,0.219689,-0.020134,-0.197153
0.266667,0.358787,0.448496,0.373683,0.169536,-0.067933,-0.227038
0.300000,0.359873,0.425818,0.327576,0.111350,-0.121163,-0.260611
0.333333,0.352215,0.393675,0.273079,0.047145,-0.177867,-0.296129
0.366667,0.337626,0.354146,0.212517,-0.020650,-0.235694,-0.331475
0.400000,0.318218,0.309618,0.148508,-0.089338,-0.292058,-0.364309
0.433333,0.296241,0.262614,0.083788,-0.156130,-0.344305,-0.392234
0.466667,0.273904,0.215618,0.021036,-0.218327,-0.389895,-0.412977
0.500000,0.253207,0.170901,-0.037305,-0.273490,-0.426571,-0.424553
0.533333,0.235792,0.130369,-0.089181,-0.319599,-0.452518,-0.425422
0.566667,0.222820,0.095434,-0.133053,-0.355181,-0.466480,-0.414603
0.600000,0.214887,0.066934,-0.167988,-0.379392,-0.467851,-0.391762
0.633333,0.211981,0.045082,-0.193701,-0.392064,-0.456715,-0.357246
0.666667,0.213496,0.029480,-0.210548,-0.393698,-0.433832,-0.312074
0.700000,0.218279,0.019161,-0.219481,-0.385411,-0.400588,-0.257875
0.733333,0.224730,0.012692,-0.221950,-0.368841,-0.358896,-0.196792
0.766667,0.230932,0.008298,-0.219774,-0.346018,-0.311059,-0.131339
0.800000,0.234808,0.004016,-0.214986,-0.319199,-0.259609,-0.064243
0.833333,0.234292,-0.002129,-0.209662,-0.290703,-0.207135,0.001738
0.866667,0.227499,-0.011961,-0.205752,-0.262731,-0.156101,0.063989
0.900000,0.212885,-0.026989,-0.204914,-0.237209,-0.108685,0.120211
0.933333,0.189386,-0.048275,-0.208385,-0.215641,-0.066631,0.168564
0.966667,0.156516,-0.076329,-0.216869,-0.199007,-0.031144,0.207772
1.000000,0.114426,-0.111051,-0.230482,-0.187698,-0.002820,0.237200
1.033333,0.063922,-0.151716,-0.248729,-0.181492,0.018375,0.256869
1.066667,0.006429,-0.197008,-0.270541,-0.179586,0.033079,0.267434
1.100000,-0.056090,-0.245097,-0.294343,-0.180668,0.042466,0.270115
1.133333,-0.121252,-0.293758,-0.318179,-0.183029,0.048129,0.266577
1.166667,-0.186407,-0.340522,-0.339850,-0.184705,0.051944,0.258799
1.200000,-0.248805,-0.382841,-0.357083,-0.183644,0.055904,0.248898
1.233333,-0.305782,-0.418271,-0.367708,-0.177875,0.061947,0.238967
1.266667,-0.354929,-0.444638,-0.369825,-0.165678,0.071791,0.230896
1.300000,-0.394254,-0.460199,-0.361957,-0.145732,0.086782,0.226230
1.333333,-0.422308,-0.463768,-0.343171,-0.117237,0.107774,0.226036
1.366667,-0.438276,-0.454796,-0.313167,-0.080000,0.135044,0.230825
1.400000,-0.442026,-0.433425,-0.272315,-0.034469,0.168251,0.240502
1.433333,-0.434102,-0.400474,-0.221649,0.018270,0.206444,0.254373
1.466667,-0.415681,-0.357395,-0.162814,0.076549,0.248117,0.271199
1.500000,-0.388476,-0.306171,-0.097965,0.138220,0.291302,0.289284
1.533333,-0.354607,-0.249184,-0.029635,0.200784,0.333702,0.306606
1.566667,-0.316445,-0.189059,0.039428,0.261556,0.372855,0.320978
1.600000,-0.276437,-0.128484,0.106438,0.317842,0.406301,0.330211
1.633333,-0.236931,-0.070032,0.168751,0.367114,0.431765,0.332296
1.666667,-0.200011,-0.015995,0.224033,0.407182,0.447316,0.325559
1.700000,-0.167351,0.031767,0.270409,0.436339,0.451516,0.308803
1.733333,-0.140103,0.071934,0.306577,0.453468,0.443523,0.281418
1.766667,-0.118829,0.103805,0.331877,0.458121,0.423161,0.243442
